,4,1,0,2,3,5,6,8,7
AL669831.5,7.0,9.0,22.0,5.0,7.0,6.0,1.0,1.0,1.0
LINC00115,3.0,0.0,7.0,2.0,5.0,2.0,1.0,0.0,0.0
NOC2L,59.0,71.0,173.0,40.0,53.0,33.0,24.0,9.0,2.0
KLHL17,1.0,8.0,13.0,2.0,2.0,3.0,2.0,0.0,1.0
PERM1,2.0,1.0,2.0,174.0,2.0,0.0,0.0,0.0,11.0
AL645608.8,10.0,2.0,9.0,0.0,13.0,6.0,4.0,1.0,0.0
HES4,635.0,94.0,890.0,100.0,262.0,22.0,130.0,4.0,7.0
ISG15,1547.0,498.0,6486.0,116.0,1441.0,323.0,152.0,68.0,12.0
AGRN,91.0,31.0,343.0,8.0,22.0,4.0,10.0,0.0,1.0
C1orf159,6.0,16.0,32.0,0.0,6.0,3.0,1.0,1.0,0.0
TTLL10,15.0,2.0,49.0,2.0,1.0,1.0,2.0,0.0,0.0
TNFRSF18,8.0,4.0,7.0,0.0,0.0,41.0,3.0,5.0,0.0
TNFRSF4,74.0,28.0,459.0,17.0,16.0,38.0,25.0,1.0,2.0
SDF4,179.0,552.0,665.0,59.0,134.0,64.0,44.0,13.0,5.0
B3GALT6,24.0,46.0,117.0,11.0,33.0,18.0,12.0,1.0,2.0
C1QTNF12,18.0,10.0,136.0,5.0,4.0,1.0,5.0,0.0,1.0
UBE2J2,78.0,171.0,260.0,65.0,87.0,36.0,27.0,3.0,10.0
ACAP3,22.0,77.0,101.0,11.0,43.0,5.0,9.0,2.0,2.0
PUSL1,12.0,40.0,46.0,21.0,15.0,10.0,6.0,2.0,0.0
INTS11,84.0,143.0,326.0,98.0,64.0,25.0,34.0,5.0,16.0
CPTP,61.0,44.0,245.0,150.0,18.0,12.0,11.0,2.0,8.0
DVL1,53.0,55.0,195.0,172.0,16.0,7.0,20.0,2.0,13.0
MXRA8,106.0,1219.0,359.0,51.0,39.0,9.0,67.0,0.0,6.0
AURKAIP1,328.0,500.0,966.0,1153.0,293.0,131.0,167.0,27.0,88.0
CCNL2,70.0,152.0,302.0,42.0,60.0,34.0,31.0,7.0,5.0
MRPL20,252.0,593.0,931.0,765.0,260.0,106.0,118.0,23.0,79.0
ANKRD65,7.0,145.0,74.0,15.0,4.0,0.0,35.0,1.0,1.0
VWA1,78.0,686.0,1029.0,34.0,52.0,3.0,86.0,2.0,2.0
ATAD3C,3.0,8.0,23.0,9.0,2.0,4.0,4.0,0.0,0.0
ATAD3B,19.0,18.0,63.0,3.0,17.0,10.0,6.0,2.0,1.0
ATAD3A,20.0,31.0,70.0,54.0,11.0,9.0,6.0,0.0,4.0
SSU72,200.0,268.0,772.0,476.0,243.0,92.0,59.0,24.0,55.0
AL645728.1,7.0,9.0,41.0,4.0,23.0,13.0,1.0,1.0,0.0
FNDC10,0.0,1.0,0.0,4.0,12.0,3.0,0.0,0.0,0.0
AL691432.2,4.0,11.0,22.0,19.0,9.0,1.0,5.0,0.0,3.0
MIB2,25.0,58.0,119.0,87.0,40.0,61.0,15.0,3.0,16.0
MMP23B,2.0,31.0,9.0,1.0,3.0,13.0,0.0,0.0,0.0
CDK11B,75.0,48.0,262.0,26.0,55.0,41.0,9.0,8.0,3.0
SLC35E2B,13.0,25.0,53.0,6.0,3.0,13.0,3.0,0.0,1.0
CDK11A,59.0,64.0,207.0,9.0,37.0,45.0,17.0,10.0,4.0
SLC35E2A,3.0,24.0,15.0,8.0,10.0,8.0,0.0,2.0,1.0
NADK,39.0,76.0,144.0,7.0,124.0,9.0,8.0,4.0,2.0
GNB1,464.0,469.0,1709.0,71.0,459.0,79.0,81.0,27.0,11.0
CALML6,0.0,0.0,0.0,36.0,0.0,0.0,1.0,0.0,46.0
TMEM52,4.0,2.0,10.0,427.0,1.0,2.0,1.0,0.0,73.0
GABRD,2.0,2.0,20.0,0.0,4.0,0.0,0.0,0.0,0.0
FAAP20,142.0,322.0,480.0,76.0,158.0,52.0,58.0,11.0,10.0
SKI,103.0,181.0,364.0,13.0,87.0,35.0,27.0,11.0,5.0
MORN1,8.0,10.0,28.0,3.0,1.0,0.0,2.0,1.0,0.0
RER1,153.0,459.0,568.0,92.0,181.0,62.0,63.0,24.0,7.0
PEX10,28.0,47.0,87.0,28.0,18.0,0.0,21.0,1.0,6.0
PANK4,10.0,14.0,42.0,11.0,15.0,3.0,3.0,1.0,2.0
HES5,58.0,6.0,52.0,3.0,3.0,0.0,4.0,0.0,1.0
AL139246.5,25.0,8.0,55.0,1.0,69.0,23.0,4.0,3.0,0.0
TNFRSF14-AS1,13.0,5.0,46.0,1.0,3.0,3.0,2.0,0.0,0.0
TNFRSF14,88.0,145.0,322.0,13.0,186.0,78.0,7.0,20.0,0.0
AL139246.3,6.0,2.0,19.0,0.0,4.0,0.0,0.0,0.0,0.0
FAM213B,24.0,5.0,78.0,1.0,10.0,6.0,3.0,0.0,3.0
LINC00982,29.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0
PRDM16,36.0,4.0,8.0,0.0,1.0,0.0,3.0,0.0,0.0
MEGF6,12.0,2.0,45.0,1.0,4.0,0.0,1.0,0.0,0.0
TPRG1L,71.0,114.0,201.0,34.0,30.0,12.0,15.0,1.0,1.0
WRAP73,28.0,58.0,121.0,18.0,27.0,15.0,7.0,4.0,0.0
SMIM1,9.0,17.0,24.0,6.0,6.0,2.0,3.0,0.0,1.0
LRRC47,47.0,84.0,168.0,69.0,26.0,11.0,22.0,4.0,2.0
CEP104,28.0,22.0,153.0,14.0,40.0,9.0,7.0,1.0,1.0
DFFB,5.0,11.0,22.0,0.0,4.0,3.0,1.0,3.0,0.0
C1orf174,33.0,71.0,119.0,26.0,38.0,24.0,10.0,5.0,4.0
AJAP1,1.0,51.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0
NPHP4,3.0,10.0,21.0,1.0,3.0,2.0,2.0,0.0,0.0
KCNAB2,6.0,9.0,22.0,1.0,101.0,31.0,0.0,1.0,1.0
RPL22,2098.0,3417.0,8391.0,2835.0,3181.0,1949.0,1366.0,415.0,295.0
RNF207,11.0,4.0,31.0,2.0,2.0,1.0,1.0,0.0,0.0
ICMT,52.0,54.0,193.0,51.0,37.0,10.0,10.0,4.0,5.0
GPR153,1.0,30.0,17.0,1.0,2.0,3.0,5.0,0.0,0.0
ACOT7,15.0,12.0,52.0,2.0,10.0,12.0,2.0,2.0,1.0
AL031848.2,9.0,0.0,13.0,2.0,0.0,0.0,1.0,0.0,1.0
TNFRSF25,25.0,10.0,163.0,3.0,19.0,44.0,8.0,0.0,1.0
PLEKHG5,19.0,2.0,96.0,3.0,11.0,0.0,3.0,0.0,0.0
NOL9,45.0,50.0,126.0,8.0,25.0,15.0,11.0,3.0,3.0
ZBTB48,15.0,34.0,54.0,15.0,26.0,4.0,11.0,0.0,1.0
KLHL21,12.0,56.0,57.0,34.0,112.0,12.0,16.0,3.0,4.0
PHF13,10.0,59.0,71.0,6.0,10.0,8.0,6.0,3.0,1.0
