group,names,scores,logfoldchanges,pvals,pvals_adj
0,AQP1,81.61785,20.363846,0.0,0.0
0,MGLL,81.19965,16.599512,0.0,0.0
0,NRP1,81.172356,5.945742,0.0,0.0
0,ITGA6,80.33513,8.192145,0.0,0.0
0,CA4,79.83593,7.913846,0.0,0.0
0,CD36,79.83006,14.061761,0.0,0.0
1,DCN,72.378494,170.98726,0.0,0.0
1,GSN,72.20233,107.966194,0.0,0.0
1,COL6A2,72.12112,26.13074,0.0,0.0
1,COL1A2,72.03068,21.740238,0.0,0.0
1,COL6A1,72.02052,17.493029,0.0,0.0
1,SERPINF1,71.99315,16.651157,0.0,0.0
2,MYL3,58.235912,50.42009,0.0,0.0
2,MYL2,58.226048,375.68307,0.0,0.0
2,TNNT1,58.215427,315.71796,0.0,0.0
2,TNNC1,58.21404,366.9337,0.0,0.0
2,DWORF,58.197655,42.044563,0.0,0.0
2,TNNI1,58.189236,234.21309,0.0,0.0
3,AIF1,53.992603,21.008612,0.0,0.0
3,C5AR1,53.91077,11.689538,0.0,0.0
3,CYBB,53.866024,9.125412,0.0,0.0
3,CTSS,53.862694,28.875952,0.0,0.0
3,LST1,53.835377,16.562946,0.0,0.0
3,CXCL8,53.791965,81.14947,0.0,0.0
4,JAG1,45.23836,3.7526345,0.0,0.0
4,HES4,44.03322,5.3858905,0.0,0.0
4,GUCY1A1,41.113796,3.546052,0.0,0.0
4,TSC22D1,40.96752,5.2329693,0.0,0.0
4,GJA4,40.9181,3.4942183,0.0,0.0
4,CASQ2,40.84199,4.662884,0.0,0.0
5,CD3G,40.094505,9.415857,0.0,0.0
5,CD3D,39.925602,11.460985,0.0,0.0
5,ARL4C,39.866898,14.72814,0.0,0.0
5,CD2,39.752827,7.91347,0.0,0.0
5,KLRB1,39.70494,11.952938,0.0,0.0
5,TRBC1,39.663628,10.654935,0.0,0.0
6,APOE,37.394855,81.299324,4.736687327224883e-306,6.820829751203831e-302
6,APOC1,37.359016,44.21823,1.810062812341125e-305,1.30324522488561e-301
6,DAG1,37.05962,6.9629455,1.2570470163898229e-300,6.033825678671149e-297
6,TUBB2B,36.852795,7.5401645,2.6380162916835033e-297,9.496858650060612e-294
6,MYF5,36.690247,7.564178,1.0449011895541774e-294,3.009315425916031e-291
6,SPATS2L,36.629314,6.747048,9.769759381611494e-294,2.3447422515867584e-290
7,TNNI2,19.08682,211.2576,3.249561409260951e-81,1.7319471788940592e-77
7,TNNT3,19.086298,147.02118,3.282257994198373e-81,1.7319471788940592e-77
7,TPM1,19.053457,170.54282,6.1502264395149105e-81,1.7319471788940592e-77
7,MYLPF,19.048923,254.28757,6.706625131636648e-81,1.7319471788940592e-77
7,MYH2,19.04814,33.398476,6.807898275464992e-81,1.7319471788940592e-77
7,TNNC2,19.045088,259.12234,7.216446578725247e-81,1.7319471788940592e-77
8,IGHM,15.792035,225.65868,3.530049693104863e-56,3.1281896227851933e-52
8,IGLC2,15.763005,46.74442,5.590991599196086e-56,3.1281896227851933e-52
8,IGKC,15.7524395,560.39636,6.608232397613127e-56,3.1281896227851933e-52
8,IGLC3,15.729974,48.695057,9.425030001243482e-56,3.1281896227851933e-52
8,CD79A,15.720987,24.35703,1.08617695235597e-55,3.1281896227851933e-52
8,GOLGA6L9,-15.666789,-9.376395,2.551482021945553e-55,6.123556852669327e-52
